"PLAYER","BASE.SALARY","SIGN.BONUS","ALL.BONUSES","CAP.VALUE","SALARY","POSITION","TEAM","YEAR"
"Charles, Jamaal",385000,,,590200,390200,"Running Back","chiefs","2009"
"Cottam, Brad",385000,,,584866,390200,"Tight End","chiefs","2009"
"Cox, Mike",385000,,,395200,390200,"Running Back","chiefs","2009"
"Dacus, Weston",385000,,,235200,390200,"Linebacker","chiefs","2009"
"Gilberry, Wallace",385000,,,390200,390200,"Defensive End","chiefs","2009"
"Leggett, Maurice",385000,,,392200,390200,"Cornerback","chiefs","2009"
"Savage, Dantrell",385000,,,390200,390200,"Running Back","chiefs","2009"
"Studebaker, Andy",385000,,,390200,390200,"Linebacker","chiefs","2009"
"Gafford, Thomas",385000,,,385000,385000,"Tight End","chiefs","2009"
"Richardson, Barry",385000,,,271765,385000,"Outside Linebacker","chiefs","2009"
"Richardson, Mike",385000,,,382059,385000,"Cornerback","chiefs","2009"
"O'Connell, Jake",310000,35175,,321725,345175,"Tight End","chiefs","2009"
"Succop, Ryan",310000,25250,,318416,335250,"Punter/Kicker","chiefs","2009"
"Belcher, Jovan",310000,5000,,311666,315000,"Linebacker","chiefs","2009"
"Walters, Pierre",310000,5000,,311666,315000,"Linebacker","chiefs","2009"
"Price, Ricky",310000,4000,,312000,314000,"Safety","chiefs","2009"
"Russell, Darrell",9e+06,,,1600000,9e+06,"Defensive Tackle","raiders","2002"
"Lechler, Shane",375000,5900000,5900000,1217857,6275000,"Punter/Kicker","raiders","2002"
"Gannon, Rich",1e+06,3500000,,3714285,6e+06,"Quarterback","raiders","2002"
"Parrella, John",650000,4750000,,1442926,5401260,"Defensive Tackle","raiders","2002"
"Kennedy, Lincoln",1400000,2500000,,2885546,3901170,"Outside Linebacker","raiders","2002"
"Robbins, Barret",1e+06,2500000,,1996666,3550000,"Outside Linebacker","raiders","2002"
"Harris, Napoleon",470000,3e+06,,948571,3520000,"Linebacker","raiders","2002"
"Woodson, Charles",2375000,,,4233333,2900000,"Cornerback","raiders","2002"
"Brown, Tim",2650000,,,4530360,2650360,"Wide Receiver","raiders","2002"
"James, Tory",2250000,,,2552610,2252610,"Cornerback","raiders","2002"
"Crockett, Zack",650000,,,2369165,2100000,"Running Back","raiders","2002"
"Romanowski, Bill",750000,1300000,,967116,2050450,"Linebacker","raiders","2002"
"Adams, Sam",750000,1250000,,958333,2e+06,"Defensive Tackle","raiders","2002"
"Rice, Jerry",850000,9e+05,,1262500,1750000,"Wide Receiver","raiders","2002"
"Woodson, Rod",750000,1e+06,,916666,1750000,"Safety","raiders","2002"
"Walker, Langston",225000,1512000,,477000,1737000,"Outside Linebacker","raiders","2002"
"Armstrong, Trace",1323000,2e+05,,2396783,1723450,"Defensive End","raiders","2002"
"Jolley, Doug",225000,1461000,,468500,1686000,"Tight End","raiders","2002"
"Garner, Charlie",1525000,,,2175000,1675000,"Running Back","raiders","2002"
"Middleton, Frank",525000,1100000,,746890,1626890,"Outside Linebacker","raiders","2002"
"Collins, Mo",1500000,,,2050000,1550000,"Outside Linebacker","raiders","2002"
"Upshaw, Regan",1450000,,,1916666,1500000,"Defensive End","raiders","2002"
"Janikowski, Sebastian",7e+05,557000,597000,1232833,1297000,"Punter/Kicker","raiders","2002"
"Wheatley, Tyrone",1200000,,,1868826,1202160,"Running Back","raiders","2002"
"Treu, Adam",525000,,,958333,885000,"Outside Linebacker","raiders","2002"
"Dorsett Jr, Anthony",750000,,,1001260,751260,"Safety","raiders","2002"
"Shaw, Terrance",650000,1e+05,,701260,751260,"Cornerback","raiders","2002"
"Jordan, Randy",650000,25000,,678330,678330,"Running Back","raiders","2002"
"Mirer, Rick",650000,25000,,477610,677610,"Quarterback","raiders","2002"
"Jett, James",650000,,,751350,676350,"Wide Receiver","raiders","2002"
"Coleman, Roderick",650000,,,672650,653150,"Defensive Tackle","raiders","2002"
"Kirby, Terry",650000,,,676260,651260,"Running Back","raiders","2002"
"Gibson, Derrick",6e+05,,,1102430,602430,"Safety","raiders","2002"
"Williams, Roland",550000,,,885853,552520,"Tight End","raiders","2002"
"Badger, Brad",525000,,,450000,525000,"Outside Linebacker","raiders","2002"
"Stinchcomb, Matt",492500,,,1228083,494750,"Outside Linebacker","raiders","2002"
"Ritchie, Jon",525000,,,423529,494118,"Running Back","raiders","2002"
"Bryant, Tony",450000,,,719546,452880,"Defensive End","raiders","2002"
"Barton, Eric",450000,,,474020,452520,"Linebacker","raiders","2002"
"Sims, Barry",450000,,,943286,451620,"Outside Linebacker","raiders","2002"
"Smith, Travian",917000,,,706067,434499,"Linebacker","raiders","2002"
"Whitted, Alvis",525000,,,370588,432353,"Wide Receiver","raiders","2002"
"Coleman, Kenyon",225000,2e+05,,265000,425000,"Defensive End","raiders","2002"
"Porter, Jerry",399000,,,692556,400890,"Wide Receiver","raiders","2002"
"Ioane, Junior",375000,,,451663,377790,"Defensive Tackle","raiders","2002"
"Johnson, Eric (CB)",375000,,,377790,377790,"Safety","raiders","2002"
"Fulcher, Mondriel",375000,,,384170,376890,"Tight End","raiders","2002"
"Love, Clarence",404000,,,405566,359801,"Cornerback","raiders","2002"
"Slaughter, Chad",3e+05,,,303690,303690,"Outside Linebacker","raiders","2002"
"Tuiasosopo, Marques",3e+05,,,553240,303240,"Quarterback","raiders","2002"
"Grant, DeLawrence",3e+05,,,422880,302880,"Defensive End","raiders","2002"
"Cooper, Chris",3e+05,,,326790,302790,"Defensive End","raiders","2002"
"Knight, Marcus",3e+05,,,3e+05,3e+05,"Wide Receiver","raiders","2002"
"Williams, Marcus",225000,,,185294,185294,"Wide Receiver","raiders","2002"
"Gordon, Darrien",650000,,,79412,114706,"Cornerback","raiders","2002"
"Johnson, Tim",225000,,,79412,79412,"Linebacker","raiders","2002"
"Christenson, Brandon",225000,,,3968,3968,"Tight End","raiders","2002"
"Ashmore, Darryl",650000,,,202250,2250,"Outside Linebacker","raiders","2002"
"Gannon, Rich",1500000,5e+06,,3430770,6502200,"Quarterback","raiders","2003"
"Kennedy, Lincoln",1534517,2800000,,3476759,4335717,"Outside Linebacker","raiders","2003"
"Garner, Charlie",3352000,,,4152000,3652000,"Running Back","raiders","2003"
"Asomugha, Nnamdi",370000,3200000,,936666,3575000,"Cornerback","raiders","2003"
"Sims, Barry",530000,3e+06,,1336171,3532600,"Outside Linebacker","raiders","2003"
"Brayton, Tyler",360000,3150000,,922500,3520000,"Defensive End","raiders","2003"
"Robbins, Barret",1e+06,,,4196666,3250000,"Outside Linebacker","raiders","2003"
"Brown, Tim",755000,2e+06,,2969333,2756000,"Wide Receiver","raiders","2003"
"Woodson, Charles",2412500,,,3820833,2487500,"Cornerback","raiders","2003"
"Rice, Jerry",1050000,1200000,,1663400,2250900,"Wide Receiver","raiders","2003"
"Parrella, John",1500000,5e+05,,2395866,2004200,"Defensive Tackle","raiders","2003"
"Romanowski, Bill",1e+06,1e+06,,1420066,2003400,"Linebacker","raiders","2003"
"Middleton, Frank",1450000,,,1923400,1703400,"Outside Linebacker","raiders","2003"
"Woodson, Rod",1e+06,7e+05,,1307366,1700700,"Safety","raiders","2003"
"Gilbert, Sean",755000,773600,,1173306,1528600,"Defensive Tackle","raiders","2003"
"Johnson, Teyo",225000,1231131,,430188,1456131,"Tight End","raiders","2003"
"Stinchcomb, Matt",1320000,,,2106334,1373000,"Outside Linebacker","raiders","2003"
"Shaw, Terrance",1e+06,,,1301400,1251400,"Cornerback","raiders","2003"
"Treu, Adam",660000,444000,,791467,1114000,"Outside Linebacker","raiders","2003"
"Harris, Napoleon",306500,775000,,868037,1085300,"Linebacker","raiders","2003"
"Crockett, Zack",655000,375000,,709371,1030800,"Running Back","raiders","2003"
"Armstrong, Trace",1e+06,,,1874333,1001000,"Defensive End","raiders","2003"
"Wheatley, Tyrone",655000,345000,,705285,1001000,"Running Back","raiders","2003"
"Collins, Mo",536000,4e+05,,637142,980000,"Outside Linebacker","raiders","2003"
"Williams, Sam",225000,727000,,370400,952000,"Defensive End","raiders","2003"
"Fargas, Justin",225000,7e+05,,365000,925000,"Running Back","raiders","2003"
"Barton, Eric",875000,,,898700,877200,"Linebacker","raiders","2003"
"Coleman, Roderick",875000,,,896300,876800,"Defensive Tackle","raiders","2003"
"Mirer, Rick",730000,25000,,452200,757200,"Quarterback","raiders","2003"
"Stubblefield, Dana",661000,94000,,451400,756400,"Defensive Tackle","raiders","2003"
"Gibson, Derrick",720000,,,1222100,722100,"Safety","raiders","2003"
"Dorsett Jr, Anthony",655000,25000,,475000,680000,"Safety","raiders","2003"
"Hetherington, Chris",655000,,,451800,656800,"Running Back","raiders","2003"
"Johnson, Rob",655000,,,211765,655000,"Quarterback","raiders","2003"
"Whitted, Alvis",530000,,,454200,534200,"Wide Receiver","raiders","2003"
"Santiago, O.J.",530000,,,453800,533800,"Tight End","raiders","2003"
"Badger, Brad",455000,75000,,453400,533400,"Outside Linebacker","raiders","2003"
"Smith, Travian",530000,,,564733,531400,"Linebacker","raiders","2003"
"Bromell, Lorenzo",530000,,,158824,530000,"Defensive End","raiders","2003"
"Love, Clarence",5e+05,,,503000,503000,"Cornerback","raiders","2003"
"Buchanon, Phillip",,5e+05,,1301000,501000,"Cornerback","raiders","2003"
"Porter, Jerry",465500,,,784766,493100,"Wide Receiver","raiders","2003"
"Janikowski, Sebastian",450000,,,967833,475000,"Punter/Kicker","raiders","2003"
"Johnson, Eric (CB)",450000,,,453400,453400,"Linebacker","raiders","2003"
"Lechler, Shane",450000,,1400,594257,451400,"Punter/Kicker","raiders","2003"
"Redmond, J.R.",450000,,,158824,450000,"Running Back","raiders","2003"
"Gabriel, Doug",225000,185000,,262000,410000,"Wide Receiver","raiders","2003"
"Tuiasosopo, Marques",389000,,,643600,393600,"Quarterback","raiders","2003"
"Grant, DeLawrence",389000,,,512000,392000,"Defensive End","raiders","2003"
"Cooper, Chris",389000,,,415200,391200,"Defensive Tackle","raiders","2003"
"Slaughter, Chad",375000,,,378800,378800,"Outside Linebacker","raiders","2003"
"Martin, Tee",375000,,,176471,375000,"Quarterback","raiders","2003"
"Jolley, Doug",3e+05,,,547700,304200,"Tight End","raiders","2003"
"Walker, Langston",3e+05,,,555000,303000,"Outside Linebacker","raiders","2003"
"Hulsey, Corey",3e+05,,,105882,3e+05,"Outside Linebacker","raiders","2003"
"Irons, Grant",3e+05,,,35294,3e+05,"Defensive End","raiders","2003"
"Johnson, Tim",3e+05,,,229412,3e+05,"Linebacker","raiders","2003"
"Scott, Carey",3e+05,,,88235,3e+05,"Cornerback","raiders","2003"
"Gbaja-Biamila, Akbar",225000,5000,,226666,230000,"Defensive End","raiders","2003"
"Nash, Keyon",225000,,,229600,229600,"Safety","raiders","2003"
"Curry, Ronald",225000,,,229400,229400,"Wide Receiver","raiders","2003"
"Pierson, Shurron",225000,,,92647,225000,"Defensive End","raiders","2003"
"Saipaia, Blaine",225000,,,13235,225000,"Outside Linebacker","raiders","2003"
"Sands, Terdell",225000,,,92647,225000,"Defensive Tackle","raiders","2003"
"Stone, John",225000,,,39706,225000,"Wide Receiver","raiders","2003"
"Wong, Joe",225000,,,26471,225000,"Outside Linebacker","raiders","2003"
"Gallery, Robert",1300000,8000016,,2633336,9300016,"Outside Linebacker","raiders","2004"
"Woodson, Charles",8781000,,,8781000,8781000,"Cornerback","raiders","2004"
"Washington, Ted",1500000,4e+06,,2500000,5500000,"Defensive Tackle","raiders","2004"
"Sapp, Warren",660000,4500000,,1450000,5200000,"Defensive End","raiders","2004"
"Gannon, Rich",4500000,,,6430270,4501700,"Quarterback","raiders","2004"
"Badger, Brad",660000,2640000,,1238000,3350000,"Outside Linebacker","raiders","2004"
"Parrella, John",1850000,1e+06,,2991666,2850000,"Defensive Tackle","raiders","2004"
"Stone, Ron",1250000,1500000,,1750800,2750800,"Outside Linebacker","raiders","2004"
"Janikowski, Sebastian",9e+05,1500000,1611000,1753833,2511000,"Punter/Kicker","raiders","2004"
"Collins, Kerry",660000,1640000,,1208266,2301600,"Quarterback","raiders","2004"
"Grove, Jake",230000,1839990,,536665,2069990,"Outside Linebacker","raiders","2004"
"Sims, Barry",535000,1465000,,1585137,2002400,"Outside Linebacker","raiders","2004"
"Middleton, Frank",1e+06,,,1500000,1500000,"Outside Linebacker","raiders","2004"
"Buchanan, Ray",760000,6e+05,,880900,1360900,"Safety","raiders","2004"
"Schweigert, Stuart",230000,950004,,388334,1180004,"Safety","raiders","2004"
"Clark, Danny",535000,525000,,713600,1063600,"Linebacker","raiders","2004"
"Crockett, Zack",660000,,,1024771,971200,"Running Back","raiders","2004"
"Wheatley, Tyrone",710000,,,961785,912500,"Running Back","raiders","2004"
"Rice, Jerry",476471,,400600,2514571,877071,"Wide Receiver","raiders","2004"
"Gibson, Derrick",840000,,,1341900,841900,"Safety","raiders","2004"
"Smith, Travian",825000,,,861933,828600,"Linebacker","raiders","2004"
"Francis, Carlos",230000,581670,,326945,811670,"Wide Receiver","raiders","2004"
"Williams, Roland",550000,2e+05,,617666,751000,"Tight End","raiders","2004"
"Slaughter, Chad",628000,1e+05,,682000,732000,"Outside Linebacker","raiders","2004"
"Whitted, Alvis",535000,150000,,589700,689700,"Wide Receiver","raiders","2004"
"Hamilton, Bobby",660000,25000,,480000,685000,"Defensive End","raiders","2004"
"Treu, Adam",660000,,,800761,664000,"Outside Linebacker","raiders","2004"
"Buchanon, Phillip",6e+05,,,1451500,651500,"Cornerback","raiders","2004"
"Grant, DeLawrence",625000,,,747400,627400,"Linebacker","raiders","2004"
"Zereoue, Amos",535000,25000,,561300,561300,"Running Back","raiders","2004"
"Porter, Jerry",557000,,,852266,560600,"Wide Receiver","raiders","2004"
"Lechler, Shane",550000,,,692857,550000,"Punter/Kicker","raiders","2004"
"Redmond, J.R.",535000,,,459000,539000,"Running Back","raiders","2004"
"Terrell, David (S)",535000,,,457000,537000,"Safety","raiders","2004"
"Morant, Johnnie",230000,250000,,280000,480000,"Wide Receiver","raiders","2004"
"Asomugha, Nnamdi",460000,,,1031766,470100,"Cornerback","raiders","2004"
"Brayton, Tyler",450000,,,1012500,460000,"Defensive End","raiders","2004"
"Tuiasosopo, Marques",455000,,,709300,459300,"Quarterback","raiders","2004"
"Harris, Napoleon",424000,,,983337,425600,"Linebacker","raiders","2004"
"Jolley, Doug",380000,,,628000,384500,"Tight End","raiders","2004"
"Johnson, Tim",380000,,,384300,384300,"Linebacker","raiders","2004"
"Walker, Langston",380000,,,635600,383600,"Outside Linebacker","raiders","2004"
"Anderson, Marques",380000,,,380000,380000,"Safety","raiders","2004"
"Gabriel, Doug",305000,,,396400,359400,"Wide Receiver","raiders","2004"
"Irons, Grant",305000,,,310300,310300,"Defensive End","raiders","2004"
"Williams, Sam",305000,,,455600,310200,"Defensive End","raiders","2004"
"Gbaja-Biamila, Akbar",305000,,,311766,310100,"Defensive End","raiders","2004"
"Sands, Terdell",305000,,,309500,309500,"Defensive Tackle","raiders","2004"
"Curry, Ronald",305000,,,309400,309400,"Wide Receiver","raiders","2004"
"Fargas, Justin",305000,,,447400,307400,"Running Back","raiders","2004"
"Johnson, Teyo",305000,,,511888,306700,"Tight End","raiders","2004"
"Anderson, Courtney",230000,45000,,239000,275000,"Tight End","raiders","2004"
"Cooper, Jarrod",267647,,,267647,267647,"Safety","raiders","2004"
"Kelly, Tommy",230000,10000,,235000,240000,"Defensive End","raiders","2004"
"Wong, Joe",230000,,,139400,234400,"Outside Linebacker","raiders","2004"
"Hulsey, Corey",201176,,,201176,201176,"Outside Linebacker","raiders","2004"
"Hetherington, Chris",194118,,,133824,194118,"Running Back","raiders","2004"
"Stone, John",169088,,,365208,169088,"Wide Receiver","raiders","2004"
"Downs, Chris",135000,,,135500,135500,"Running Back","raiders","2004"
"Nash, Keyon",92309,,,27059,92309,"Safety","raiders","2004"
"Rivers, David",66209,,,1027059,66209,"Quarterback","raiders","2004"
"Williams, Brock",53824,,,1035882,53824,"Cornerback","raiders","2004"
"Spencer, Cody",,50000,50000,25000,50000,"Linebacker","raiders","2004"
"Hambrick, Troy",,25000,25000,25000,25000,"Running Back","raiders","2004"
"Woodson, Charles",10537000,,,10537000,10537000,"Cornerback","raiders","2005"
"Porter, Jerry",1e+06,7e+06,,2694746,8003080,"Wide Receiver","raiders","2005"
"Moss, Randy",665000,7085000,,2437130,7750880,"Wide Receiver","raiders","2005"
"Jordan, LaMont",550000,7e+06,,1950000,7550000,"Running Back","raiders","2005"
"Gallery, Robert",325000,6500000,,5464496,6831160,"Offensive Tackle","raiders","2005"
"Collins, Kerry",765000,5255000,,3414866,6022200,"Quarterback","raiders","2005"
"Burgess, Derrick",455000,5e+06,,1455000,5455000,"Defensive End","raiders","2005"
"Sapp, Warren",765000,3735000,,2262660,4500660,"Defensive Tackle","raiders","2005"
"Sims, Barry",572941,3559999,,2303696,4470233,"Offensive Tackle","raiders","2005"
"Hamilton, Bobby",665000,1600000,,986320,2266320,"Defensive End","raiders","2005"
"Janikowski, Sebastian",750000,1300000,1300000,1352833,2050000,"Punter/Kicker","raiders","2005"
"Washington, Fabian",230000,1057000,,1164900,2010500,"Cornerback","raiders","2005"
"Crockett, Zack",8e+05,1200000,1201100,1094671,2001100,"Running Back","raiders","2005"
"Washington, Ted",765000,1235000,,2012880,2000880,"Defensive Tackle","raiders","2005"
"Clark, Danny",540000,1435000,,1004200,1977200,"Middle Linebacker","raiders","2005"
"Stone, Ron",1100000,4e+05,,1183080,1503080,"Offensive Guard","raiders","2005"
"Lechler, Shane",540000,960000,960000,922857,1500000,"Punter/Kicker","raiders","2005"
"Routt, Stanford",230000,1002000,,673400,1475000,"Cornerback","raiders","2005"
"Walker, Denard",9e+05,4e+05,,1003960,1303960,"Cornerback","raiders","2005"
"Walter, Andrew",230000,985000,,427000,1215000,"Quarterback","raiders","2005"
"Morrison, Kirk",230000,888000,,407600,1118000,"Middle Linebacker","raiders","2005"
"Badger, Brad",665000,335000,,1310000,1050000,"Offensive Guard","raiders","2005"
"Jasper, Edward",665000,,,480000,690000,"Defensive Tackle","raiders","2005"
"Whitted, Alvis",665000,,,720280,670280,"Wide Receiver","raiders","2005"
"Treu, Adam",665000,,,803961,667200,"Long Snapper","raiders","2005"
"Curry, Ronald",380000,2e+05,,424840,584840,"Wide Receiver","raiders","2005"
"Hill, Reynaldo",540000,,,565000,565000,"Cornerback","raiders","2005"
"Asomugha, Nnamdi",550000,,,1122386,560720,"Cornerback","raiders","2005"
"Johnson, Tim",556000,,,560400,560400,"Middle Linebacker","raiders","2005"
"Brayton, Tyler",540000,,10000,1102500,550000,"Outside Linebacker","raiders","2005"
"Slaughter, Chad",540000,,,6e+05,550000,"Offensive Tackle","raiders","2005"
"Cooper, Jarrod",540000,,4840,459840,544840,"Safety","raiders","2005"
"Tuiasosopo, Marques",540000,,,794400,544400,"Quarterback","raiders","2005"
"Flemister, Zeron",540000,1000,,457320,542320,"Tight End","raiders","2005"
"Grant, DeLawrence",540000,,1760,456760,541760,"Outside Linebacker","raiders","2005"
"Williams, Randal",540000,,,455000,540000,"Tight End","raiders","2005"
"Smith, Kenny",455000,25000,,484400,484400,"Defensive Tackle","raiders","2005"
"Hulsey, Corey",455000,,,460280,460280,"Offensive Guard","raiders","2005"
"Walker, Langston",455000,,,710960,458960,"Offensive Guard","raiders","2005"
"Gibson, Derrick",455000,,1320,1157320,456320,"Safety","raiders","2005"
"Easy, Omar",455000,,880,455880,455880,"Running Back","raiders","2005"
"Gabriel, Doug",380000,,,470520,433520,"Wide Receiver","raiders","2005"
"Williams, Sam",380000,,,531560,386160,"Defensive End","raiders","2005"
"Sands, Terdell",380000,,,385280,385280,"Defensive Tackle","raiders","2005"
"Irons, Grant",380000,,4840,384840,384840,"Outside Linebacker","raiders","2005"
"Fargas, Justin",380000,,,523960,383960,"Running Back","raiders","2005"
"Tongue, Reggie",352059,,,240882,352059,"Safety","raiders","2005"
"Grove, Jake",305000,,,642825,336160,"Center","raiders","2005"
"Anderson, Courtney",305000,,,320160,311160,"Tight End","raiders","2005"
"Schweigert, Stuart",305000,,6160,469494,311160,"Safety","raiders","2005"
"Francis, Carlos",305000,,,407665,310720,"Wide Receiver","raiders","2005"
"Morant, Johnnie",305000,,,360280,310280,"Wide Receiver","raiders","2005"
"Kelly, Tommy",305000,,,314840,309840,"Defensive End","raiders","2005"
"Riddle, Ryan",230000,35250,35250,247625,265250,"Outside Linebacker","raiders","2005"
"Foschi, John Paul",230000,,5720,235720,235720,"Running Back","raiders","2005"
"Carr, Chris",230000,5000,,231666,235000,"Cornerback","raiders","2005"
"Ekejiuba, Isaiah",154665,,,135294,154665,"Outside Linebacker","raiders","2005"
"Eugene, Hiram",75200,,,75200,75200,"Cornerback","raiders","2005"
"Moss, Randy",7500000,,,9522460,8251210,"Wide Receiver","raiders","2006"
"Sims, Barry",4450000,,,7211935,4785533,"Outside Linebacker","raiders","2006"
"Jordan, LaMont",625000,,,6025880,4625880,"Running Back","raiders","2006"
"Sapp, Warren",4500000,,,6097000,4600000,"Defensive Tackle","raiders","2006"
"Brooks, Aaron",2e+06,2e+06,,3001760,4001760,"Quarterback","raiders","2006"
"Porter, Jerry",1e+06,,,3032792,3882792,"Wide Receiver","raiders","2006"
"Washington, Fabian",350000,,,1446355,3880580,"Cornerback","raiders","2006"
"Poole, Tyrone",1e+06,1250000,,1625000,2250000,"Cornerback","raiders","2006"
"Burgess, Derrick",2e+06,,,3000110,2000110,"Defensive End","raiders","2006"
"Huff, Michael",275000,,,2e+06,2e+06,"Safety","raiders","2006"
"Johnstone, Lance",1e+06,750000,,1377200,1752200,"Defensive End","raiders","2006"
"Gallery, Robert",650000,,,6788618,1655282,"Outside Linebacker","raiders","2006"
"Lechler, Shane",1e+06,,5e+05,1882857,1500000,"Punter/Kicker","raiders","2006"
"Routt, Stanford",350000,,,834730,1478080,"Cornerback","raiders","2006"
"Treu, Adam",9e+05,,,1591163,1204400,"Outside Linebacker","raiders","2006"
"Crockett, Zack",810000,330000,,1169791,1140220,"Running Back","raiders","2006"
"Cooper, Jarrod",1100000,,,1103080,1103080,"Safety","raiders","2006"
"Janikowski, Sebastian",1100000,,,1702833,1100000,"Punter/Kicker","raiders","2006"
"McQuistan, Paul",275000,795000,,473750,1070000,"Outside Linebacker","raiders","2006"
"Williams, Randal",1195015,,,1104409,954409,"Tight End","raiders","2006"
"Badger, Brad",710000,230000,,1366020,943520,"Outside Linebacker","raiders","2006"
"Thomas, Robert Wayne (LB)",,,,,735000,"Linebacker","raiders","2006"
"Howard, Thomas",275000,,,728000,728000,"Linebacker","raiders","2006"
"Sands, Terdell",721600,,,725120,725120,"Defensive Tackle","raiders","2006"
"Whitted, Alvis",710000,,,763960,713960,"Wide Receiver","raiders","2006"
"Starks, Duane",710000,,,425000,710000,"Cornerback","raiders","2006"
"Slaughter, Chad",585000,1e+05,,688520,688520,"Outside Linebacker","raiders","2006"
"Bing, Darnell",275000,471000,,297750,651000,"Safety","raiders","2006"
"Asomugha, Nnamdi",640000,,,1211946,650280,"Cornerback","raiders","2006"
"Brayton, Tyler",630000,,,1192500,640000,"Linebacker","raiders","2006"
"Gibson, Derrick",585000,40000,,465000,625000,"Safety","raiders","2006"
"Curry, Ronald",6e+05,,,723080,603080,"Wide Receiver","raiders","2006"
"Irons, Grant",6e+05,,,603080,603080,"Linebacker","raiders","2006"
"Tuiasosopo, Marques",585000,,,840280,590280,"Quarterback","raiders","2006"
"Hulsey, Corey",585000,,,429400,589400,"Outside Linebacker","raiders","2006"
"Walker, Langston",585000,,,839640,587640,"Outside Linebacker","raiders","2006"
"Fargas, Justin",5e+05,,,643960,503960,"Running Back","raiders","2006"
"Williams, Sam",460000,,,610680,465280,"Defensive End","raiders","2006"
"Grove, Jake",425000,,,761175,429510,"Outside Linebacker","raiders","2006"
"Anderson, Courtney",425000,,,888400,429400,"Tight End","raiders","2006"
"Morant, Johnnie",425000,,,478960,428960,"Wide Receiver","raiders","2006"
"Schweigert, Stuart",425000,,,587294,428960,"Safety","raiders","2006"
"Kelly, Tommy",425000,,,428520,428520,"Defensive End","raiders","2006"
"Lee, ReShard",425000,,,427640,427640,"Running Back","raiders","2006"
"Boothe, Kevin",275000,101000,,300250,376000,"Outside Linebacker","raiders","2006"
"Carr, Chris",350000,,,356946,355280,"Cornerback","raiders","2006"
"Morrison, Kirk",350000,,,532440,354840,"Linebacker","raiders","2006"
"Walter, Andrew",350000,,,551840,354840,"Quarterback","raiders","2006"
"Ekejiuba, Isaiah",350000,,,353520,353520,"Linebacker","raiders","2006"
"Hawthorne, Anttaj",350000,,,351320,351320,"Defensive Tackle","raiders","2006"
"Huntley, Kevin",275000,,,280836,280836,"Defensive End","raiders","2006"
"Madsen, John",275000,5000,,277500,280000,"Wide Receiver","raiders","2006"
"Adkisson, James",275000,,,279840,279840,"Wide Receiver","raiders","2006"
"Francis, Carlos",425000,,,473400,279510,"Wide Receiver","raiders","2006"
"Echema, Joseph",425000,,,275000,275000,"Running Back","raiders","2006"
"Brown, Ricky",275000,,,210294,210294,"Linebacker","raiders","2006"
"Quarshie, Michael",275000,,,186276,186276,"Defensive Tackle","raiders","2006"
"Green, DeJuan",275000,,,181760,181760,"Running Back","raiders","2006"
"Gabriel, Doug",8e+05,,,141176,141176,"Wide Receiver","raiders","2006"
"Huff, Michael",360000,,,4803360,11063360,"Safety","raiders","2007"
"Sands, Terdell",8e+05,4e+06,,3200000,6200000,"Defensive Tackle","raiders","2007"
"Sims, Barry",2e+06,1500000,,3988576,5003840,"Outside Linebacker","raiders","2007"
"Sapp, Warren",4800000,,,6397000,4900000,"Defensive Tackle","raiders","2007"
"Gallery, Robert",2e+06,,,5472428,4005760,"Outside Linebacker","raiders","2007"
"Curry, Ronald",1e+06,3e+06,,1642880,4002880,"Wide Receiver","raiders","2007"
"Jordan, LaMont",1e+06,,,5401440,4001440,"Running Back","raiders","2007"
"Culpepper, Daunte",1600000,,,3200000,3200000,"Quarterback","raiders","2007"
"Thomas, Robert Wayne (LB)",1500000,1500000,,2003360,3003360,"Linebacker","raiders","2007"
"Burgess, Derrick",1500000,5e+06,,4000480,3000480,"Defensive End","raiders","2007"
"Russell, JaMarcus",3162340,,,2976320,2976320,"Quarterback","raiders","2007"
"Schweigert, Stuart",2168334,950004,,2332428,2174094,"Safety","raiders","2007"
"Rhodes, Dominic",1500000,1e+06,,1650898,2150898,"Running Back","raiders","2007"
"Howard, Thomas",360000,,,915760,2015760,"Linebacker","raiders","2007"
"McCown, Josh",2e+06,2e+06,,2003360,2003360,"Quarterback","raiders","2007"
"Kelly, Tommy",1350000,3e+05,,1850480,1650480,"Defensive End","raiders","2007"
"Griffith, Justin",6e+05,1e+06,,939093,1605760,"Running Back","raiders","2007"
"Lechler, Shane",1e+06,,500480,1883337,1500480,"Punter/Kicker","raiders","2007"
"Newberry, Jeremy",1500000,,,1500480,1500480,"Outside Linebacker","raiders","2007"
"Janikowski, Sebastian",1350000,,480,1953315,1350480,"Punter/Kicker","raiders","2007"
"Carlisle, Cooper",1200000,,,1803840,1303840,"Outside Linebacker","raiders","2007"
"Miller, Zach",285000,965000,,526250,1250000,"Tight End","raiders","2007"
"Asomugha, Nnamdi",1230000,3200000,,1742427,1240760,"Cornerback","raiders","2007"
"Wakefield, Fred",675000,2e+05,,1025000,1125000,"Outside Linebacker","raiders","2007"
"Stewart, Tony",6e+05,5e+05,,855760,1105760,"Tight End","raiders","2007"
"Porter, Jerry",1e+06,,,3152880,1002880,"Wide Receiver","raiders","2007"
"Brayton, Tyler",970000,3150000,,1450000,980000,"Linebacker","raiders","2007"
"Henderson, Mario",285000,634000,,443500,919000,"Outside Linebacker","raiders","2007"
"Higgins, Johnnie Lee",285000,580000,,430000,865000,"Wide Receiver","raiders","2007"
